year,count,name,percentage,total_per_year
1950,977,Clifton,0.00029324421750616956,3331694
1950,973,Guadalupe,0.00029204362705578606,3331694
1950,972,Darryl,0.00029174347944319013,3331694
1950,962,Bob,0.0002887420033172314,3331694
1950,952,Melissa,0.00028574052719127266,3331694
1950,950,Iris,0.00028514023196608092,3331694
1950,934,Carrie,0.00028033787016454694,3331694
1950,931,Hugh,0.00027943742732675932,3331694
1950,931,Sam,0.00027943742732675932,3331694
1950,931,Shelia,0.00027943742732675932,3331694
1950,917,Terrance,0.00027523536075041704,3331694
1950,911,Edgar,0.0002734344750748418,3331694
1950,910,Trudy,0.00027313432746224592,3331694
1950,908,Mattie,0.00027253403223705418,3331694
1950,908,Gale,0.00027253403223705418,3331694
1950,904,Susie,0.00027133344178667068,3331694
1950,900,Harriet,0.00027013285133628719,3331694
1950,888,Cecilia,0.00026653107998513671,3331694
1950,885,Morris,0.00026563063714734908,3331694
1950,885,Antonio,0.00026563063714734908,3331694
1950,883,Patty,0.00026503034192215734,3331694
1950,873,Brent,0.00026202886579619855,3331694
1950,873,Deanna,0.00026202886579619855,3331694
1950,868,Earnest,0.00026052812773321918,3331694
1950,866,Marguerite,0.00025992783250802743,3331694
1950,860,Sammy,0.00025812694683245219,3331694
1950,858,Caroline,0.00025752665160726045,3331694
1950,856,Dora,0.0002569263563820687,3331694
1950,855,Betsy,0.00025662620876947283,3331694
1950,854,Jeannette,0.00025632606115687695,3331694
1950,854,Benny,0.00025632606115687695,3331694
1950,854,Unknown,0.00025632606115687695,3331694
1950,853,Irma,0.00025602591354428108,3331694
1950,852,Dave,0.0002557257659316852,3331694
1950,840,Rosalie,0.00025212399458053472,3331694
1950,837,Minnie,0.0002512235517427471,3331694
1950,831,Bennie,0.00024942266606717186,3331694
1950,822,Antoinette,0.00024672133755380895,3331694
1950,822,Neal,0.00024672133755380895,3331694
1950,814,Wendell,0.00024432015665304196,3331694
1950,813,Deloris,0.00024402000904044608,3331694
1950,811,Byron,0.00024341971381525434,3331694
1950,811,Willard,0.00024341971381525434,3331694
1950,809,Miriam,0.00024281941859006259,3331694
1950,807,Otis,0.00024221912336487084,3331694
1950,805,Tommie,0.0002416188281396791,3331694
1950,800,Velma,0.00024011809007669973,3331694
1950,799,Clinton,0.00023981794246410385,3331694
1950,792,Ira,0.00023771690917593271,3331694
1950,790,Lynette,0.00023711661395074097,3331694
1950,790,Rosemarie,0.00023711661395074097,3331694
1950,785,Lyle,0.0002356158758877616,3331694
1950,782,Holly,0.00023471543304997398,3331694
1950,781,Nelson,0.0002344152854373781,3331694
1950,777,Elmer,0.00023321469498699461,3331694
1950,774,Jesus,0.000232314252149207,3331694
1950,770,Aaron,0.00023111366169882347,3331694
1950,769,Tyrone,0.00023081351408622759,3331694
1950,766,Greg,0.00022991307124843997,3331694
1950,762,Laurence,0.00022871248079805648,3331694
1950,762,Lucinda,0.00022871248079805648,3331694
1950,761,Naomi,0.00022841233318546061,3331694
1950,760,Virgil,0.00022811218557286473,3331694
1951,87408,James,0.024936444987505815,3505231
1951,86486,Robert,0.024673409541339786,3505231
1951,81686,John,0.02330402760902206,3505231
1951,74029,Linda,0.021119578139072719,3505231
1951,72874,Michael,0.020790070611608764,3505231
1951,65786,Mary,0.018767949958219586,3505231
1951,64824,David,0.01849350299595091,3505231
1951,62798,William,0.0179155097053518,3505231
1951,56506,Patricia,0.016120478222405314,3505231
1951,54561,Richard,0.015565593251914069,3505231
1951,48287,Thomas,0.013775696951213771,3505231
1951,42061,Deborah,0.011999494469836653,3505231
1951,40612,Barbara,0.011586112299018238,3505231
1951,40220,Susan,0.011474279441212291,3505231
1951,39472,Charles,0.011260884090092779,3505231
1951,38154,Gary,0.010884874634510535,3505231
1951,30564,Larry,0.0087195394540331289,3505231
1951,30340,Nancy,0.0086556349638583028,3505231
1951,29051,Ronald,0.0082878988574504788,3505231
1951,28354,Steven,0.0080890531893618427,3505231
1951,28137,Joseph,0.0080271457145049789,3505231
1951,27998,Karen,0.0079874906960482779,3505231
1951,27918,Donald,0.0079646676638429822,3505231
1951,27662,Sandra,0.0078916339607860361,3505231
1951,26719,Kathleen,0.0076226074686661163,3505231
1951,25833,Kenneth,0.007369842386992469,3505231
1951,24828,Carol,0.0070831280449134447,3505231
1951,24245,Dennis,0.0069168051977173545,3505231
1951,24070,Donna,0.00686687981476827,3505231
1951,23932,Sharon,0.0068275100842141358,3505231
1951,22846,Paul,0.00651768742202725,3505231
1951,22464,Stephen,0.0064087074432469639,3505231
1951,21722,Brenda,0.0061970238195428488,3505231
1951,21189,Mark,0.006044965367475068,3505231
1951,21110,Daniel,0.0060224276231723387,3505231
1951,20273,George,0.0057836416487244352,3505231
1951,19895,Edward,0.0056758028215544137,3505231
1951,19846,Diane,0.0056618237143286707,3505231
1951,18564,Pamela,0.0052960846232388108,3505231
1951,17695,Margaret,0.005048169435908789,3505231
1951,17067,Debra,0.00486900863309722,3505231
1951,16950,Janet,0.0048356299484969747,3505231
1951,16294,Cynthia,0.004648481084413552,3505231
1951,15945,Janice,0.0045489156064179512,3505231
