"id","first_name","last_name","party","seniority","state","missed_votes_pct","votes_with_party_pct","congress"
"H000206","Tom","Harkin","D",11,"IA",0.66,88.13,104
"H000338","Orrin","Hatch","R",19,"UT",0.98,93.16,104
"H000343","Mark","Hatfield","R",29,"OR",7.64,78.25,104
"H000445","Howell","Heflin","D",17,"AL",3.06,68.02,104
"H000463","Jesse","Helms","R",23,"NC",4.15,92.03,104
"H000725","Ernest","Hollings","D",29,"SC",1.75,79.44,104
"H001016","Kay","Hutchison","R",3,"TX",0.76,95.27,104
"I000024","James","Inhofe","R",3,"OK",2.29,94.08,104
"I000025","Daniel","Inouye","D",27,"HI",5.02,86.44,104
"J000072","James","Jeffords","R",7,"VT",2.07,68.23,104
"J000189","John","Johnston","D",23,"LA",3.38,75.93,104
"K000017","Nancy","Kassebaum","R",17,"KS",6.44,84.71,104
"K000088","Dirk","Kempthorne","R",3,"ID",0.55,95.06,104
"K000105","Edward","Kennedy","D",33,"MA",2.84,90.67,104
"K000146","J. Robert","Kerrey","D",7,"NE",2.4,83.67,104
"K000148","John","Kerry","D",11,"MA",0.87,90.2,104
"K000305","Herb","Kohl","D",7,"WI",0.11,84.04,104
"K000352","Jon","Kyl","R",1,"AZ",1.2,91.16,104
"L000123","Frank","Lautenberg","D",13,"NJ",0.87,89.43,104
"L000174","Patrick","Leahy","D",21,"VT",2.62,89.8,104
"L000261","Carl","Levin","D",17,"MI",0.33,91.68,104
"L000304","Joseph","Lieberman","D",7,"CT",0.98,77.51,104
"L000447","Trent","Lott","R",7,"MS",0.33,95.07,104
